batter_id,batter_trackman_id,count,total,confidence
22660,62415,17333,91449,0.18953733775109624
22816,66108,15975,93173,0.17145524991145503
21696,75847,15538,96768,0.1605696097883598
23420,76290,15405,84775,0.18171630787378354
22066,77532,15060,86103,0.17490679767255496
23281,67304,15049,83416,0.18040903423803586
23471,76313,14682,90709,0.1618582500082682
22103,79109,14588,78603,0.18559088075518745
21821,76267,14536,72864,0.1994949494949495
22130,79231,14387,80837,0.17797543204225788
22013,78224,14181,79988,0.1772890933640046
22410,62404,14172,78311,0.18097074485065956
21992,78513,14156,93663,0.15113758901594013
23578,68743,13681,76375,0.17912929623567922
22102,79192,13575,87386,0.15534524981118256
23476,68050,13208,70162,0.18825004988455288
21818,76232,13113,87281,0.15023888360582485
23443,75125,12952,83261,0.15555902523390303
22127,79215,12934,80147,0.1613784670667648
23901,50854,12750,76655,0.16632965886113105
23693,69737,12723,85318,0.14912445204997773
22443,62895,12684,70431,0.18009115304340417
22133,79402,12583,76810,0.1638198151282385
22606,62907,12560,73958,0.1698261175261635
22779,64166,12553,78496,0.15991897676314717
22109,79608,12297,87141,0.14111612214686542
21660,75334,12263,67132,0.1826699636536972
21990,78548,12201,79157,0.15413671564106776
22126,79240,12189,80207,0.15196927948932137
23282,67341,12140,67318,0.1803380967943195
22455,78288,11995,74485,0.16103913539638853
22632,63963,11831,68256,0.1733327473042663
22693,64153,11093,70854,0.15656137973861745
22146,79365,11021,78152,0.14102006346606613
22283,61102,10965,70392,0.15577054210705762
22269,60523,10857,63436,0.17114887445614477
21627,74540,10657,74696,0.1426716290028917
23319,67893,10655,60320,0.17664124668435013
23113,64868,10617,58903,0.18024548834524556
22725,64006,10490,63895,0.16417560059472572
22605,62931,10459,56666,0.18457275967952563
22500,78168,10361,63953,0.16200960080058793
23687,628336,10225,57498,0.17783227242686703
21520,74163,9924,52645,0.18850793047772818
22727,64004,9923,57373,0.17295592003207083
23639,69102,9860,56908,0.17326210726084207
21737,75566,9585,64884,0.147725171074533
22736,65357,9490,51657,0.18371179123836073
22430,62244,9268,50007,0.18533405323254745
23465,68525,9237,63776,0.14483504766683392
22610,62947,8987,63765,0.14093938681094645
23413,592692,8613,46846,0.18385774665926655
21616,74206,8604,52764,0.16306572663179442
24144,425783,8533,53114,0.16065444139021726
21968,77564,8445,53307,0.15842197084810625
23875,50458,8412,53931,0.15597708182677866
23646,64646,8160,87024,0.09376723662437948
21834,76802,8044,52653,0.15277382105483067
21996,78135,7956,49822,0.1596884910280599
23410,457449,7923,48801,0.1623532304665888
22468,63123,7907,53734,0.14715077976700042
21286,72443,7905,71951,0.1098664368806549
22182,79456,7897,55540,0.14218581202736766
22315,61404,7743,50406,0.15361266515890964
21398,73113,7620,47662,0.1598757920355839
22245,60558,7467,48054,0.1553876888500437
24087,51344,7401,47425,0.15605693199789142
24074,517369,7389,50610,0.14599881446354476
21837,76849,7339,44723,0.1640990094582206
22379,62700,7303,39537,0.18471305359536636
22026,78603,7144,74717,0.0956141172691623
23348,493193,7013,61623,0.11380491050419486
23040,64984,6887,43130,0.15968003709714815
23134,66704,6885,45084,0.15271493212669685
