iter	Logloss
0	0.6926141047
1	0.6921102433
2	0.6916363148
3	0.6911984351
4	0.6907660118
5	0.6903560942
6	0.6899735036
7	0.6896104136
8	0.6892808035
9	0.6889546864
10	0.6886657408
11	0.6883801752
12	0.688113673
13	0.6878628843
14	0.6876206421
15	0.6873987459
16	0.6871849515
17	0.6869775751
18	0.6867831651
19	0.6865950273
20	0.6864108897
21	0.6862396534
22	0.6860788455
23	0.6859301187
24	0.6857879839
25	0.685651551
26	0.6855174572
27	0.6854037749
28	0.6852824797
29	0.6851755263
30	0.6850583227
31	0.6849663856
32	0.6848667076
33	0.6847671745
34	0.6846895993
35	0.6846145172
36	0.6845317963
37	0.6844679792
38	0.6843795314
39	0.6843160242
40	0.6842443112
41	0.6841844784
42	0.6841132019
43	0.6840563122
44	0.6840003896
45	0.6839471025
46	0.683880384
47	0.6838365264
48	0.6837880005
49	0.6837406155
50	0.6836943147
51	0.6836549508
52	0.6836173818
53	0.68357912
54	0.6835389906
55	0.6834990364
56	0.6834632736
57	0.6834296113
58	0.6833998791
59	0.6833641542
60	0.6833367047
61	0.6833071087
62	0.683270042
63	0.6832407932
64	0.6832139075
65	0.6831912878
66	0.6831608767
67	0.68313252
68	0.683110377
69	0.6830852587
70	0.6830641153
71	0.6830403184
72	0.683020313
73	0.6829997638
74	0.6829838153
75	0.6829641514
76	0.6829399115
77	0.6829144732
78	0.6828896957
79	0.6828600505
80	0.6828409649
81	0.6828211308
82	0.68280729
83	0.6827905677
84	0.6827761099
85	0.6827598306
86	0.6827435034
87	0.6827261415
88	0.682710974
89	0.6826956808
90	0.6826799479
91	0.6826626508
92	0.6826493373
93	0.6826324684
94	0.682611361
95	0.6825937814
96	0.6825819396
97	0.682569843
98	0.6825516586
99	0.6825354949
100	0.6825250278
101	0.6825097769
102	0.6824977709
103	0.6824683308
104	0.6824555853
105	0.6824458529
106	0.6824297161
107	0.6824182556
108	0.6824071895
109	0.6823815552
110	0.6823686475
111	0.6823497609
112	0.682341634
113	0.6823288806
114	0.6823178195
115	0.6823114386
116	0.6823023912
117	0.6822893318
118	0.6822806658
119	0.6822701352
120	0.6822540243
121	0.6822449261
122	0.6822344114
123	0.6822270257
124	0.6822126998
125	0.6821953356
126	0.6821871436
127	0.682178923
128	0.6821697325
129	0.6821515743
130	0.6821375293
131	0.6821297568
132	0.6821212935
133	0.6821155363
134	0.6821077313
135	0.6820961951
136	0.6820883596
137	0.6820812497
138	0.6820723042
139	0.6820659574
140	0.6820525839
141	0.6820361052
142	0.6820303955
143	0.6820240944
144	0.6820060424
145	0.6819997535
146	0.6819924523
147	0.6819782962
148	0.6819696967
149	0.6819611546
150	0.6819548407
151	0.681949025
152	0.6819422685
153	0.6819361406
154	0.6819286653
155	0.6819230821
156	0.6819179484
157	0.6819069148
158	0.6818995112
159	0.6818924416
160	0.6818882294
161	0.6818831216
162	0.6818771976
163	0.68186996
164	0.6818637995
165	0.6818596308
166	0.6818537212
167	0.6818493791
168	0.6818387424
169	0.6818313872
