iter	Passed	Remaining
0	208	60369
1	402	57918
2	576	55165
3	782	55934
4	974	55569
5	1165	55177
6	1364	55180
7	1576	55576
8	1769	55242
9	1989	55700
10	2183	55383
11	2379	55121
12	2597	55355
13	2817	55551
14	3025	55469
15	3244	55560
16	3445	55329
17	3641	55023
18	3854	54983
19	4053	54722
20	4256	54526
21	4483	54617
22	4688	54424
23	4888	54181
24	5095	54016
25	5288	53702
26	5483	53412
27	5692	53261
28	5899	53092
29	6102	52885
30	6318	52793
31	6515	52530
32	6720	52342
33	6930	52182
34	7127	51926
35	7323	51668
36	7545	51591
37	7754	51425
38	7955	51202
39	8168	51054
40	8370	50835
41	8585	50697
42	8804	50577
43	9018	50419
44	9214	50169
45	9435	50051
46	9639	49838
47	9857	49699
48	10077	49566
49	10265	49276
50	10486	49141
51	10693	48941
52	10888	48690
53	11078	48416
54	11313	48338
55	11531	48185
56	11755	48054
57	11961	47846
58	12178	47680
59	12392	47506
60	12591	47268
61	12784	47013
62	12998	46837
63	13200	46612
64	13379	46312
65	13587	46113
66	13815	45984
67	14026	45793
68	14214	45526
69	14404	45270
70	14638	45152
71	14838	44929
72	15046	44727
73	15245	44501
74	15452	44296
75	15627	44002
76	15764	43608
77	15914	43253
78	16115	43041
79	16315	42828
80	16518	42622
81	16691	42339
82	16894	42134
83	17073	41869
84	17271	41653
85	17425	41335
86	17602	41073
87	17808	40879
88	18030	40720
89	18236	40525
90	18455	40359
91	18620	40074
92	18830	39888
93	18996	39609
94	19149	39306
95	19346	39095
96	19502	38802
97	19715	38627
98	19912	38417
99	20108	38205
100	20304	37995
101	20499	37783
102	20708	37597
103	20913	37402
104	21123	37217
105	21376	37105
106	21600	36942
107	21811	36755
108	22028	36579
109	22233	36382
110	22429	36170
111	22628	35962
112	22848	35789
113	23045	35578
114	23251	35382
115	23445	35168
116	23650	34970
117	23858	34776
118	24071	34589
119	24286	34405
120	24497	34215
121	24719	34040
122	24904	33813
123	25110	33615
124	25310	33409
125	25513	33207
126	25706	32992
127	25908	32791
128	26127	32609
129	26325	32400
130	26534	32206
131	26704	31964
132	26931	31791
133	27145	31602
134	27344	31395
135	27556	31203
136	27761	31003
137	27955	30791
138	28170	30602
139	28371	30398
140	28571	30192
141	28802	30019
142	29004	29815
143	29230	29636
144	29419	29419
145	29636	29230
146	29833	29021
147	30036	28819
148	30262	28637
149	30497	28464
150	30722	28281
151	30982	28128
152	31204	27941
153	31400	27730
154	31620	27540
155	31821	27333
156	32025	27130
157	32245	26938
158	32472	26754
159	32676	26549
160	32879	26344
161	33110	26161
162	33302	25947
163	33519	25752
164	33746	25565
165	33911	25331
166	34117	25128
167	34329	24929
168	34550	24736
169	34755	24533
170	34955	24325
171	35165	24125
172	35323	23889
173	35560	23707
174	35783	23515
175	36000	23318
176	36216	23121
177	36413	22912
178	36592	22691
179	36791	22483
180	37022	22295
181	37232	22094
182	37444	21893
183	37665	21698
184	37857	21486
185	38045	21272
186	38260	21074
187	38457	20865
188	38655	20657
189	38889	20468
190	39100	20266
191	39292	20055
192	39530	19867
193	39730	19660
194	39921	19449
195	40117	19240
196	40301	19025
197	40487	18812
198	40690	18607
199	40917	18412
200	41124	18209
201	41336	18007
202	41556	17809
203	41747	17599
204	41951	17394
205	42183	17201
206	42384	16994
207	42578	16785
208	42823	16596
209	43046	16398
210	43255	16195
211	43463	15991
212	43683	15791
213	43884	15585
214	44081	15377
215	44333	15188
216	44547	14985
217	44742	14777
218	44966	14578
219	45160	14369
220	45360	14162
221	45560	13955
222	45791	13758
223	45996	13552
224	46203	13347
225	46377	13133
226	46551	12919
227	46788	12723
228	46998	12519
229	47211	12315
230	47429	12114
231	47644	11911
232	47848	11705
233	48062	11502
234	48256	11294
235	48454	11087
236	48681	10886
237	48878	10679
238	49115	10480
239	49351	10281
240	49566	10077
241	49762	9870
242	49910	9653
243	50064	9438
244	50271	9233
245	50466	9026
246	50664	8820
247	50856	8612
248	51067	8408
249	51265	8202
250	51487	8000
251	51707	7797
252	51905	7590
253	52104	7384
254	52319	7181
255	52527	6976
256	52755	6774
257	52957	6568
258	53159	6362
259	53356	6156
260	53596	5955
261	53790	5748
262	54013	5545
263	54231	5341
264	54455	5137
265	54672	4932
266	54886	4728
267	55088	4522
268	55293	4316
269	55521	4112
270	55740	3907
271	55939	3701
272	56125	3494
273	56340	3289
274	56563	3085
275	56767	2879
276	56994	2674
277	57184	2468
278	57379	2262
279	57584	2056
280	57783	1850
281	57979	1644
282	58178	1439
283	58384	1233
284	58605	1028
285	58817	822
286	59004	616
287	59173	410
288	59366	205
289	59569	0
